No.|Class|Condition|Contents|Measure|Release|Teach|Auto|Teach|Auto|Teach|Auto
3022|Operation al failure|Take care of not recovering position at the next servo on.|Since the position for recovery couldn't recorded, never recover the position at the next servo on without related to distance. This might be occured at servo off during recovery position.|There is no way.|No reset operations neccesary.|I|I|I|I|on|on
3037|Spot weld failure|The external operation of servo gun is not permitted while running program.|The external operation of servo gun was executed while running program.|Please execute of external operation while program is stopping or servo gun is separating.|No reset operations neccesary.|I|I|I|I|on|on
3051|Control failure|Please release both of the enable swiches.|This failure occurs when grasping the enable swich after detecting inconsistency without releasing both of them.|Please release both of the enable swiches.|No reset operations neccesary.|I|I|I|I|off|off
3057|Spot weld failure|Cannot startup while read/write text executing.|When the startup is input during the processing execution by text read/write screen, this error is output.|Please input the startup instruction after text read/write operation ends.|No reset operations neccesary.|I|I|I|I|on|on
3079|CPU board failure|CPU bord temperature warning.|This error occurs when detecting the temperature alarm on the CPU board.|(1)Check the fans on the rack unit are operating, or clean up them. (2)Replace the rack-unit fan. (3)Replace the CPU board.|Error reset.|I|I|I|I|on|on
3081|Operation al failure|Auto backup can't connect to FTP server for auto backup.|It was not a connection to the FTP server that was backing up of an automatic backup ahead. Or, neither an initial folder nor the folder of this name existed on the home directory of the FTP server.|Please confirm host name, user ID, password, and initial folder of ftp client.|No reset operations neccesary.|I|I|I|I|on|on
3082|Operation al failure|Abnormality occurred while backing up automatically.|The thing backed up automatically cannot be done. The storage medium is not prepared, and read-only and memory capacity shortage, etc. are thought.|Please confirm the state of the storage medium.|No reset operations neccesary.|I|I|I|I|on|on
3083|Operation al failure|The memory medium is read-only.|When it is going to copy a file to a write-protected memory cards etc., this error sets.|Please prepare the memory medium to which writing is made and perform a copy from the beginning once again.|It will be canceled if some keys are pushed.|I|I|I|I|on|on
3084|Operation al failure|Media device is full.|Failure occurs if there is no memory space left when attempting to copy to external device or internal memory.",|Create space in current media device or use another.|No reset operations neccesary.|I|I|I|I|on|on
3085|Operation al failure|The memory media is not prepared.|The detection reason is that the specified device was not detected when the file operation is done.|Whether the device such as memory cards specified by the file operation menu is correctly installed is confirmed.|It will be canceled if some keys are pushed.|I|I|I|I|on|on
3086|Operation al failure|Auto backup can't connect to the T/P external memory for auto backup.|Because T/P was not connected, it was not able to access the T/P external memory.|Please connect T/P.|No reset operations neccesary.|I|I|I|I|on|on
3087|Operation al failure|It failed in the attestation with TP.|The attestation to TP external memory went wrong.|Please check connection of TP external memory.|No reset operations neccesary.|I|I|I|I|on|on
3089|Operation al failure|It cannot process in the same device.|It was going to copy to the same device by the same file name.|Please change a file name or a device and redo copy operation again.|It will be canceled if some keys are pushed.|I|I|I|I|on|on
3097|Spot weld failure|Cannot startup while read/write text executing.|When the startup is input during the processing execution by text read/write screen, this error is output.|Please input the startup instruction after text read/write operation ends.|No reset operations neccesary.|I|I|I|I|off|off
3103|Control failure|In OFF-mode, motors are not able to be ON.|Both of play and teach signal are OFF.|Please confirm play and teach signals are connected exactly.|No reset operationsneccesary.|I|I|I|I|off|off
3110|Operation al failure|Number of axes miss-matched.|Failure occurs when the number of axes used in a program is not compatible with the unit constant files.|Check the program file type is comptible with the constants currently in use.|No reset operations neccesary.|I|A|I|A|on|on
3111|PLC failure|The alarm was generated by Toyopuc I/F.|Toyopuc I/F detected the alarm.|Please refer to the manual of Toyopuc I/F.|Automatically restores, when the problem is solved.|A|A|A|A|on|on
3112|PLC failure|SHARP I/F: Battery error occurred.|Warning occurs when the battery for the memory backup is nothing or discharged.|Replace the battery for the memory backup.|No reset operations.|I|I|I|I|on|on
3113|PLC failure|SHARP I/F: It exists together to fieldbus functions.|It exists together to fieldbus functions.|Disable field bus functions, and reenter the power supply.|Error reset.|I|I|I|I|on|on
3134|Operation al failure|Data given is incorrect.|Data keyed-in is out of range or not defined.|Input suitable data.|No reset operations neccesary.|I|I|I|I|on|on
3137|Spot weld failure|Servo Gun Dramatic tip consumption change detected.|Warning is given when the set warning limit for gun tip consumption is exceeded. Tip consumption warning signal is outputted.|Check the lack of gun tip.|No reset operations neccesary.|I|I|I|I|on|on
3138|Spot weld failure|Welder version is unmatched.|Welder version is unmatched.|Initialize welder data.|No reset operations neccesary.|I|I|I|I|on|on
3141|Spot weld failure|Welder backup file is not found.|Welder backup file is not found.|Initialize welder data.|No reset operations neccesary.|I|I|I|I|on|on
3142|Spot weld failure|Welder error occurred.|Welder detects ALERT or FAULT.|Refer to the Welder Manual.|Error reset.|I|I|I|I|on|on
3146|Preventive maintenance message|It seems to reach at the grease exchange time.|The decelerator of the displayed axis reached at the grease exchange time.|(1)Please execute the grease exchange. (2)Please refer to the robot maintenance manual for the exchange method and the exchange part.|After exchanging grease, Please reset at the [Service][Robot Diagnosis][Gre ase Exchange Cycle] menu.|I|I|I|I|on|on
3147|Preventive maintenance message|It seems to reach at the grease replenishment time.|The decelerator, the bearing or balancer of the displayed axis reached at the grease replenishment time.|(1)Please execute the grease replenishment. (2)Please refer to the robot maintenance manual for the replenishment method and the replenishment part.|After replenishing grease, Please reset at the [Service][Robot Diagnosis][Grease Exchange Cycle] menu.|I|I|I|I|on|on
3148|Preventive maintenance message|There is an axis which exceeds the allowance and maximum torque.|The presumption generation torque exceeded a permissible value by displayed program step and axis.|(1)Change to ratings or less when the robot load condition is investigated, and weight and the wrist torque exceed it to ratings.(Gravity setting is used) (2)There is a possibility to exceed the acceleration which can be used. (Check the step before and after) (3)There is a possibility with a large interference torque, too. (Drop the acceleration of the displayed step.)|Error reset.|I|I|I|I|on|on
3149|Preventive maintenance message|It is a program which remarkably shortens longevity.|In the displayed program, longevity is within at 5000 hours.There is a possibility which is the program of call/jump origin when the call/jump are used.|(1)Change to ratings or less when the robot load condition is investigated, and weight and the wrist torque exceed it to ratings. (Gravity setting is used) (2)The amount of operation is, and the average speed and the average torque greatly exceed ratings because of largeness or high speed, and there is a possibility that longevity has shortened. Reduce the amount of operation of the object axis or slow down the speed if there is no obstacle in work. (program diagnosis) (3)There is a possibility to be generated because the cycle time is remarkably short. Slow down the speed overall.|Error reset.|I|I|I|I|on|on
3150|Preventive maintenance message|There is a possibility that the setting of the load weight and center of gravity is inapposite.|IIt is detected when there is a big difference between the longevities calculated from longevity and the motor speed calculated from the current.|(1)Please confirm whether the setting of the load weight and center of gravity is correct. (2)Please change to ratings or less when the robot load condition is investigated, and weight and the wrist torque exceed it to ratings. (3)There is a possibility that the trouble occurs in the robot when not corresponding to the above-mentioned.|Error reset.|I|I|I|I|on|on
3151|Operational failure|The program or the file does not exist.|This error occurs when the program number is specified which does not exist in the program jump call instruction.|Please correct the program number to a correct value the jump call ahead.|This failure is released if a correct program is setted and restart playback.|I|I|I|I|on|on
3155|Operational failure|This robot type is different.|Error occurs when a program created for different robot type is read.|Please select a suitable program.|Error reset.|A|A|A|A|on|on
3156|Spot weld failure|Servo Gun Move-tip consumption approaching limit.|Warning is given when the set warning for Move-tip consumption limit is exceeded. Tip consumption warning signal is outputted.|Check the Gun tip. If tips are good check the setting otherwise change the tip to the new one, and detect tip consumption again.|Error reset.|I|I|I|I|on|on
3157|Spot weld failure|Servo Gun Settle-tip consumption approaching limit.|Warning is given when the set warning for Settle-tip consumption limit is exceeded. Tip consumption warning signal is outputted.|Check the Gun tip. If tips are good check the setting otherwise change the tip to the new one, and detect tip consumption again.|Error reset.|I|I|I|I|on|on
3158|Spot weld failure|Servo Gun Move-tip consumption exceeded maximum limit.|Servo Gun Move-tip consumption exceeded the maximum limit.|Replace the worn Move-tip and detect tip consumption again.|Error reset.|I|I|I|I|on|on
3159|Spot weld failure|Servo Gun Settle-tip consumption exceeded maximum limit.|Servo Gun Settle-tip consumption exceeded the maximum limit.|Replace the worn Settle-tip and detect tip consumption again.|Error reset.|I|I|I|I|on|on
3160|Spot weld failure|The change in the tip consumption detected by search 3 is abnormal.|The difference between the consumption detected by search 3 and the consumption detected by search 1 exceeded the search 3 abnormal tip change.|Check the lack of gun tip. If it is no trouble, execute gun search 1.|Error reset.|I|I|I|I|on|on
3161|Spot weld failure|Servo gun pressure is not achieved.|Error occurs when the set gun pressure is not achieved.|Check the external pressure value.|Error reset.|I|I|I|I|on|on
3162|Spot weld failure|GUN SEARCH not complete.|The order of executing the tip consumption detection is wrong.|Please modify the execution timing of the tip consumption detection.|Error reset.|I|I|I|I|on|on
3165|Operation al failure|The file is protected.|All protected files or files partially protected (program or constant)|Because the specified file (program or constant) contains important data, protecting is put so that the|Please release protecting the|I|I|I|I|on|on
3168|Preventive maintena nce message|There is the axis in 1000 hours for overhaul.|The life time of the axis displayed with present operated (time to reaching to longevity) became 1,000 hours or less.|Exchange the axis early. After that 0 clearing of "Consumption time until present".|Error reset.|I|I|I|I|on|on
3169|Preventive maintenance message|There is the axis in 0 hours for overhaul.|The life time of the axis displayed with present operated (time to reaching to longevity) became 0 hour or less.|Exchange the axis. After that 0 clearing of "Consumption time until present".|Error reset.|I|I|I|I|on|on
3170|Operation al failure|It was going to start, when unit was not ready.|This error occurs if it starts when unit is not ready.|Please check unit ready signal output conditions, and start after making it the unit ready.|This error is released if it starts again after making it the unit ready.|I|I|I|I|on|on
3175|Spot weld failure|Abnormal panel thickness detected.|Dramatic difference of panel thickness exists between recorded value in weld condition and detected value.|Check the weld condition data and real work piece thickness.|No reset operations neccesary.|I|I|I|I|on|on
3177|CPU board failure|Controller temperature fault.|Information occurs when the temperature of the core of the controller exceeds 60?. If this state lasts 10 min, motor power will be automatically shutdown and E0063 displayed.,|Check the fans are operating, or clean up the heat exchanger.|No reset operations neccesary.|I|I|I|I|on|on
3178|Spot weld failure|Re-weld is not allowed.|You did re-weld except for the time of abnormal welding.|Please restart after set a step in auto mode, or do manual weld.|No reset operations neccesary.|I|I|I|I|on|on
3181||Conveyer running signal was not received.|Conveyer running signal was not received in conveyer normal mode.|In conveyer normal mode, turn on conveyer running signal.|No reset operations neccesary.|I|I|I|I|on|on
3194|Operation al failure|The program is not recorded nor selected.|This error occurs when the program which is not recorded is selclted and reserve playback.|Please reserve after recording the program or selecting other programs.|This error is released if it sets a correct program and reserve playback.|I|I|I|I|on|on
3218|Operation al failure|Command not possible while running program.|This command is not able to be used during the execution of a program.|Stop the program and retry the command.|No reset operations neccesary.|I|I|I|I|on|on
3353|Operation al failure|It is protected with the record-disable-switch or the password.|It detects, when it is going to correct or delete the file (a program, constant) protected with the password.|Since the specified file (program or constant) contains important data, protection is applied|Set the record-disable- switch to OFF or release password protecting.|I|I|I|I|on|on
3354|Servo failure|Rising of motor torque is observed.|The motor torque in a cycle went up as compared with the average value the 10 cycles past.|Check whether there is any cause of raising motor torque, about motors, reduction gears or cables etc.|No reset operations neccesary.|I|I|I|I|on|on
3355|Spot weld failure|Current feedback of servo gun is abnormal.|In the servo gun with pressure sensor, the axis current to pressurizing power is abnormal.|Please check the pressure sensor, the axis motor of servo gun, or those cables connected.|No reset operations neccesary.|I|I|I|I|on|on
3528|Operation al failure|The memory medium is not discriminable.|When memory media, such as a FIROPPI disk and an memory card, are not initialized, this error occurs.|By Service / File Manager / Format memory card/Floppy disk, please use it after initializing a memory medium.|It will be canceled if some keys are pushed.|I|I|I|I|on|on
3536|Spot weld failure|Welder fault.|Error occurs when a Welder fault input signal is received by the controller after the completion of a welding sequence.|Check the welder unit.|No reset operations neccesary.|I|I|I|I|on|on
3537|Spot weld failure|Welding time exceeded limit.|Error occurs if a Weld competed signal is not input before the designated time period.|Check the welder is operating normally.|No reset operations neccesary.|I|I|I|I|on|on
3538|Spot weld failure|The gun not open.|Error occurs if the Gun closed signal is received after the welding sequence ends.|Check the GUN or welding unit.|No reset operations neccesary.|I|I|I|I|on|on
3539|Spot weld failure|The gun is not half open.|Error occurs if the Gun half-open signal is not received after Open gun half signal is output by the controller.|Check the GUN or welding unit.|No reset operations neccesary.|I|I|I|I|on|on
3540|Spot weld failure|The gun is not fully open.|Error occurs if the Gun full-open signal is not received after Open gun fully signal is output by the controller.|Check the GUN or welding unit.|No reset operations neccesary.|I|I|I|I|on|on
3541|Spot weld failure|Stuck Weld GUN detected.|Error occurs if the System fault signal is detected after completion of a welding sequence.|Error occurs if the Weld stuck signal is received when the welding sequence ends.|No reset operations neccesary.|I|I|I|I|on|on
3542|Spot weld failure|Coolant fault #1.|Error occurs if the Water flow switch #1 signal is detected after completion of a welding sequence.|Check the GUN or welding unit.|No reset operations neccesary.|I|I|I|I|on|on
3543|Spot weld failure|Coolant fault #2.|Error occurs if the Water flow switch #2 signal is detected after completion of a welding sequence.|Check the GUN or welding unit.|No reset operations neccesary.|I|I|I|I|on|on
3544|Spot weld failure|Air pressure fault.|Error occurs if the Air pressure switch signal is detected after completion of a welding sequence.|Check the GUN or welding unit.|No reset operations neccesary.|I|I|I|I|on|on
3545|Spot weld failure|Transformer temperature fault.|Error occurs if the Thermo. temp. fault signal is detected after completion of a welding sequence.|Check the GUN or welding unit.|No reset operations neccesary.|I|I|I|I|on|on
3546|Spot weld failure|Peripheral system fault.|Error occurs if the System fault signal is detected after completion of a welding sequence.|Check the GUN or welding unit.|No reset operations neccesary.|I|I|I|I|on|on
3552|Spot weld failure|Both of half-open and full-open signals are given.|Error occurs if both the Gun half-open signal and Gun full-open signal are received simultaneously after Open gun half signal is output by the controller.|Check the GUN or welding unit to determine the cause of the two simultaneous signals.|No reset operations neccesary.|I|I|I|I|on|on
3553|Spot weld failure|Manual axis moving cannot be operated during waiting for WI.|Error occurs if manual axis moving during waiting for WI.|Please releasing WI.|Please release the WI.|I|I|I|I|on|on
3555|Spot weld failure|Servo-gun is not executed to obey the welder sequence.|Error occurs when the servo-gun is not achieved to command pressure.|Please confirm to the sequence of weld-timer.|No reset operations neccesary.|I|I|I|I|on|on
3656|Spot weld failure|Current of tip dresser abnormaled.|This error occurs when the servo dresser is exceeded beyond current range.|(1)Please confirm the tip dress condition.(2)Please confirm the cable between the controller and the servo tip dresser.(3)Please replace the motor.(4)Please replace the drive unit.|Error reset.|I|I|I|I|on|on
3660|Spot weld failure|Current of tip dresser abnormaled.|This error occurs when the dress length of tip is exceeded beyond dress length range.|(1)Please confirm the tip dress condition.(2)Please confirm the tip consumption.|Error reset.|I|I|I|I|on|on
3666|Request maintenance|Cooler fans stopped.|Error occurs when cooler fans stopped.|Please exchange cooler fans.|Please exchange cooler fans.|I|I|I|I|on|on
3677|Spot weld failure|Minor Welder warning(Alarm).|Error occurs when the welder board generate the warning(Alarm).|Remove the cause of the warning.|Error reset.|I|I|A|A|on|on
3678|Spot weld failure|Weld error reset is not execute.|Error occurs when welder command execute without reset the error.|Error reset.|Error reset.|I|I|A|A|on|on
3687|Spot weld failure|Minor Welder error.|Error occurs when the welder board generate the weld error.|Remove the cause of weld error.|Error reset.|I|I|A|A|on|on
3688|Spot weld failure|Weld error reset is not execute.|Error occurs when welder command execute without reset the error.|Error reset.|Error reset.|I|I|A|A|on|on
3689|Spot weld failure|RE-01 battery error|Lithem battery cannot be used if it does.|Please exchange the lithem batteries referring to the "RE-01 maintenance manual".|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
3690|Spot weld failure|RE-01 battery charge low|Error occurs when the voltage of lithium battery on RE-01 bord has decreased.|Please exchange the lithem batteries referring to the "RE-01 maintenance manual".|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
3700|Operation al failure|It stopped in the home stop position.|It will generate, if it comes to the position registered by setup of a home stop position function.|Please carry out manual operation again.|No reset operations neccesary.|I|I|I|I|on|on
3701|Operation al failure|Option un-setting up.|It generates, when it is going to use the option function which is not set up.|Please set up an option.|No reset operations neccesary.|I|I|I|I|on|on
3702|Vision sensor failure|Illigal request of conveyor sync.|Conveyor sync. request method is different from vision sensor constant setting. Or, it was requested when edit mode of vision sensor.|Please modify constant setting. Or, cancel edit mode.|No reset operations neccesary.|I|I|I|I|on|on
3703|Vision sensor failure|The measurement number is a unsetting.|When conveyor sync. is requested, the measurement number is a unsetting.|Please modify parameters. Or, check input signals.|No reset operations neccesary.|I|I|I|I|on|on
3704|Vision sensor failure|The buffer is full. The measurement result was not able to be stored.|The conveyer speed is too fast.|Please slow down the conveyer speed.|No reset operations neccesary.|I|I|I|I|on|on
3782|Vision sensor failure|The pose search shift data cannot be acquired.|The shift data corresponding to the master data number that has been sent from the vision sensor is not registered.|Please check master data for pose search.|No reset operations neccesary.|I|I|I|I|on|on
3790|Encoder failure|The error counter of the encoder exceeded the setting value.|The error counter of the encoder exceeded the setting value.|Please check the encoder.|Error reset.|I|I|I|I|on|on
3800|User failure|Abnormal shift data received.|The received shift data contains the status that notifies abnormality.|Please confirm the state of PC that transmits the shift data.|No reset operations neccesary.|I|I|I|I|on|on
3960|FieldBus failure|A part or all I/O links are stopping.|Since the between title has occurred in the I/O device, a robot cannot be started.|Please check the device which the problem has generated by the field bus monitor.|If a problem is solved, it will restore automatically. (In order to solve a problem, the re-injection of a power supply may be required)|I|I|I|I|on|on
4000|Arc weld failure|Communication timeout occurred between the controller and the welding power supply.|The welding power supply didn't respond.|Check the connection of the welding power supply to the controller.|Turn on the controller and the welding power supply again.|E|E|E|E|on|on
4001|Arc weld failure|Received data failure.|The data which are received from the welding power supply are incorrect.|Check the connection of the welding power supply to the controller.|Turn on the controller and the welding power supply again.|E|E|E|E|on|on
4002|Arc weld failure|Can't communicate with the welding power supply.|The communication between the controller and the welding power supply is shutdown.|Check the connection of the welding power supply to (L21700S00/UM355).|Turn on the controller and the welding power supply again.|E|E|E|E|on|on
4003|Arc weld failure|Can't communicate with the welding power supply.|The communication driver detected the failure.|Check the connection of the welding power supply to the controller. And check the connection of UM355(L21700S00) board.|Turn on the controller and the welding power supply again.|E|E|E|E|on|on
4004|Arc weld|The registration of the|The kind of registered WPS and|Register WPS correctly, or set Dip switch of Robot I/F|After|E|E|E|E|on|on |failure|welding power supply is incorrect.|actual WPS are not same, or the Dip switch setting of Robot I/F board inside the welding power supply is wrong.|board correctly.|registeration/se tting, turn on the controller and the welding power supply again.||||||4005|Arc weld failure|The welding power supply of old version is connected.|The controll software of the welding power supply is old.|Please update the welding power supply.|After updating, turn on the controller and the welding power supply again.|E|E|E|E|on|on
4006|Arc weld failure|The welding power supply version is wrong for the servo wire feed control.|The servo of the wire feed control unit does not turn on/off because the software of the welding power supply is old.|Please update the welding power supply.|After updating, turn on the welding power supply again.|E|E|E|E|on|on
4007|Arc weld failure|The control software is abnormal in the welding power supply.|The welding power supply doesn't correspond to the stitch pulse welding function.|The control software of the welding power supply must improve in the version.|The control software of the welding power supply improves in the version, and the power supply in the robot controller and the welding power supply is turned on again.|E|E|E|E|on|on
4008|Arc weld failure|The welding power supply version does not support the Synchro-welding by CAN communication.|The Synchro-welding is not executed because the software of the welding power supply does not support the Synchro-welding by CAN communication.|Please update the welding power supply.|After updating, turn on the welding power supply again.|E|E|E|E|on|on
4009|Arc weld failure|The welding power supply does not support the Synchro-welding by CAN communication.|The Synchro-welding is not executed because the welding power supply does not support the Synchro-welding by CAN communication.|Please setup the Synchro-welding by RS-422 communication.|Error reset.|E|E|E|E|on|on
4010|Arc weld failure|The arc welding cannot be done.|The arc welding power supply doesn't correspond to the welding condition slope function.|The upgrade should do the software of the arc welding power supply.|Error reset.|E|E|E|E|on|on
4011|Arc weld failure|The arc welding cannot be done.|The arc welding power supply doesn't correspond to the welding characteristic data self adjustment function.|The upgrade should do the software of the arc welding power supply.|Error reset.|E|E|E|E|on|on
4012|Arc weld failure|The gas mass flow control function cannot be used.|The arc welding power supply doesn't correspond to the gas mass flow control function.|The upgrade should do the software of the arc welding power supply.|Error reset.|E|E|E|E|on|on
4013|Arc weld failure|The control software is abnormal in the welding power supply.|The welding power supply doesn't correspond to the cycle pulsed welding function.|Please update the welding power supply.|After updating, turn on the welding power supply again.|E|E|E|E|on|on
4014|Arc weld failure|It was not possible to communicate with the robot controller or the peripherals on the arc welding power supply.|Abnormality occurred by the communication with the robot controller or peripherals on the welding power supply.|Confirm the connection with the welding power supply or the peripherals. Or, in the function of the welding power supply, confirm the the setting of the transmission rate of the CAN communication .|Turn the welding power supply on again.|E|E|E|E|on|on
4015|Arc weld failure|Microcomputer control failure occurred in the welding power supply.|The failure occurs in the controller of the welding power supply.|Turn the welding power supply on again. Confirm an abnormal display of the arc welding power supply, and contact our service when abnormality relapses. Back up files to external CF memory.|Failure reset, and turn on the welding power supply again.|E|E|E|E|on|on
4016|Arc weld failure|The Arc-I/F is not found.|The Arc-I/F board(L21700S) doesn't connect with the sequence board(L21700F).|Check the connection of the Arc-I/F(L21700S) to the sequence board(L21700F).|Turn on the power again.|E|E|E|E|off|off
4017|Arc weld failure|CAN baudrate setting is failure.|CAN baudrate of the Arc-I/F board(L21700S) couldn't set.|Set CAN baudrate 500Kbps. And turn on the power again.|Turn on the power again.|E|E|E|E|on|off
4018|Arc weld failure|The communication error has occurred.|The communication error has occurred between the Arc-I/F board(L21700S) and the sequence board(L21700F).|Please check the connection between the Arc-I/F board(L21700S) and the sequence board(L21700F). You might exchange their boards. Please contact our service department.|Error reset.|E|E|E|E|on|off
4019|Arc weld failure|The communication error has occurred.|The communication error has occurred between the Arc-I/F board(L21700S) and the sequence board(L21700F).|Please check the connection between the Arc-I/F board(L21700S) and the sequence board(L21700F). You might exchange their boards. Please contact our service department.|Error reset.|E|E|E|E|on|off
4085|Arc weld failure|Communication timeout occurred inside the welding power supply.|The contollor of the welding power supply didn't respond.|Turn off the power supply in the welding power supply, and contact our service.|Turn the welding power supply on again.|E|E|E|E|on|on
4099|Arc weld failure|It was not possible to communicate with the arc welding power supply.|There is no response from the arc welding power supply.|Check the connection of the welding power supply to (L21700S00/UM355).|Turn the welding power supply on again.|E|E|E|E|on|on
4102|Operation al failure|It is weaving condition disagreement.|In simultaneous weaing, weaving conditions are not in agreement.|Please make weaving conditions in agreement.|Error reset.|A|E|A|E|on|on
4900|Operation al failure|Mechanism Error in External axis relative move function (FN407).|The mechanism number specified in the 1st parameter is not belong to current unit.|Specify correct mechanism number which belongs to current unit.|Error reset.|E|E|E|E|on|on
4901|Operation al failure|Axis Error in External axis relative move function (FN407:RELMOV)|The axis number specified in the 2nd parameter is not defined in a mechanism of 1st parameter.|Check the axis number of 2nd parameter taught in the function command, and teach again.|Error reset.|E|E|E|E|on|on
4902|Operation al failure|Mechanism type error.|The mechanism specified in 1st paramter is neither positioner norslider.|Select a unit which has positioner or slider, and then specify a positioner or a slider in 1st parameter.|Error reset.|E|E|E|E|on|on
4903|Operation al failure|G-STOP input value is not corresponding.|This error is detected when the G-STOP input value in two systems is not corresponding.|Please confirm the G-STOP input value.|After removal of failure, please turn on power supply of the controller|E|E|E|E|on|on
4905|Operation al failure|Playback was started in the state that the basic posture of any axes is not setup.|Since the data when power failure did not be saved correctly, the position data of endless rotation axis has not been resumed to the data before power failure.|Please perform the Encoder Correction (with position record method) to the axis in which abnormalities have generated.|Error reset.|A|A|E|E|on|on
4906|Operation al failure|The position of the endless rotation axis is abnormal.|The basic position of endless rotation axis was not able to be restored correctly by the mechanism change.|Please perform the Encoder reset and Correction (with position record method) to the axis in which abnormalities have generated.|Error reset.|E|E|E|E|on|on
4910|Operation al failure|Mechanism* is servo off.|The manual operation, check operation or playback operation has been performed for a mechanism whose servo power has been individually set to OFF.|Check the mechanism whose servo power is OFF, and turn it ON.|Error reset.|A|E|A|E|on|on
4911|Operation al failure|SPN parameter error.|Mechanisms other than the ones targeted for operation have been specified in the servo ON command (SPN).|Review the mechanisms which have been specified by the servo ON command (SPN).|Error reset.|A|E|A|E|on|on
4912|Operation al failure|SPF parameter error.|Mechanisms other than the ones targeted for operation have been specified in the servo OFF command (SPF).|Review the mechanisms which have been specified by the servo OFF command (SPF).|Error reset.|A|E|A|E|on|on
4914|Servo failure|Mechanism servo OFF cannot be executed.|Because robot doesn't reach the command position, servo OFF cannot be executed.|(1)Please confirm whether the robot manipulator interferes in something.(2)Please confirm that the Pay-load is within the nominal rating.(3)If failure persists, the problem may be a mechanical defect in the manipulator, contact our service department.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
4915|Operation al failure|The instruction value of the mechanism to which servo OFF is set has changed.|This error detected when the difference between the instruction position and the current position exceeds a regulated value in the mechanism to which servo OFF is set.|Please confirm followings to the mechansim to which servo off is set. (1)Instruction angle is not changed. (2)Current angle is not changed, by the external force.|After removal of failure, please carry out "failure-reset".|A|E|A|E|on|on
4920|Emergency stop failure|Shock sensor detected the collision.|Since the shock sensor detected the collision, the robot was stopped for safety.|Cancel shock sensor by manual operation.|Error reset.|A|E|A|E|on|on
4921|Operation al failure|Module mechanism interpolation failure.|This failure occurs when a module mechanism cannot reach the position and the posture.|Please change a interporation type to [joint] or make the same the wrist axis angle of a starting point and an ending point.|Error reset.|A|E|A|E|on|on
4930|Operation al failure|The connection mechanism of the Spray machine does not exist.|This error is detected, when the Spray machine set as the first parameter is not registered or the connection mechanism is not set up.|Please improve registration of the Spray machine, and a setup of a connection mechanism.|Error reset.|E|E|E|E|off|off
4931|Operation al failure|The Spray machine does not belong to a current unit.|This error is detected when the mechanism connected to the Spray machine set as the first parameter does not belong to the present unit.|Please record by the Spray machine number belonging to the present unit.|Error reset.|E|E|E|E|off|off
4932|Operation al failure|Rotation shaft information is unusual.|By the case of extension synchronization control, the rotation shaft information over the shaft number set as Thermal spraying start conditions is not set up, or this error is detected when the interval of a start position-end position is less than 300mm.|Please reset up correctly the rotation shaft information corresponding to the shaft number set as the Thermal spraying start conditions.|Error reset.|E|E|E|E|off|off
4999|Emergency stop failure|Alarm carried out number-of-times generating of regulation, and was breaking down.|Alarm carried out number-of-times generating of regulation, and was breaking down.|Please fix failure from the cause of alarm.|Error reset.|E|E|E|E|on|on
5005|Arc weld failure|The weaving trajectory exceeded regulation speed.|The speed of weaving trajectory has been exceeded the regulation speed, since the move distance between weaving points is too long, or the frequency (speed) is too high.|Correct the distance between weaving points, frequency, or speed.|After removal of failure, please carry out "failure-reset".|A|A|A|A|on|on
5006|Arc weld failure|The amount of posture change of taught weaving exceeded the restriction value.|The amount of posture change between weaving points is too large.|Please correct posture change of taught weaving pattern data.|After removal of failure, please carry out "failure-reset".|A|A|A|A|on|on
5007|Arc weld failure|Pose calculation failed.|Each axis angle can't be calculated. The posture data specified in the weaving condition is incorrect.|Check the posture data in weaving condition.|After removal of failure, please carry out "failure-reset".|A|A|A|A|on|on
5008|Operation al failure|Permission speed over occurred.|The stop time of weaving conditions was too large at maintenance of welding time, or frequency was too high, and permission speed over occurred.|Stop time is made small or frequency is dropped. Or please change into not carrying out welding time maintenance.|Error reset.|A|A|A|A|on|on
5010|Arc weld failure|The welding current value has exceeded the allowable limit.|The difference between the welding current value measured by the welding power supply and the taught one has exceeded the allowable limit set by the arc constants.|Check the welding conditions(wire extension etc). There is possibility of missmatch the welding characteristic data to your environment if this failure occurs over and over again. In such case, adjust the welding characteristic data by the adjudstment of welding condition function etc.|Error reset.|A|A|A|A|on|on
5011|Arc weld failure|The welding voltage value has exceeded the allowable limit.|The difference between the welding voltage value measured by the welding power supply and the taught one has exceeded the allowable limit set by the arc constants.|Check the welding conditions(wire extension etc). There is possibility of missmatch the welding characteristic data to your environment if this failure occurs over and over again. In such case, adjust the welding characteristic data by the adjudstment of welding condition function etc.|Error reset.|A|A|A|A|on|on
5013|Arc weld failure|The welding power supply has been turned off.|The controller couldn't communicate with the welding power supply.|Turn on the welding power supply. In case the welding power supply has been already turned on, check the connection of the welding power supply to the controller.|Error reset.|A|A|A|A|on|on
5014|Arc weld failure|Arc start failure.|No arc has been generated in spite of retrying the arc start.|Check the workpiece's condition, wire's condition, and connection of the cable.|This failure is released if restart|A|A|A|A|on|on
